name,url,developer,year,screenshot,youtube,vimeo,steam,apple,google
Space World,http://www.intergalacticeducation.com/,Intergalactic Education,,http://www.intergalacticeducation.com/MoonBase.jpg,,,,,
Spells of Genesis,http://www.spellsofgenesis.com/,EverdreamSoft,2015,,,,,,
Spirit,https://twitter.com/ryofougere,Rinaldo Wirz,,https://pbs.twimg.com/media/B-sk3bGUEAEDtZ5.jpg:large,,,,,
Stampout,http://www.stampout.ch/,TRAENTWORKS GmbH,,http://www.stampout.ch/images/Galleries/Gallery/IMG_TE_Stampout_0015.jpg,,,,,
"Stop, Ampeltime!",http://www.stopampeltime.ch/,Phillipp Kuhn,,http://www.stopampeltime.ch/wp-content/uploads/2013/05/BA_Plakat_Philipp_Kuhn_x800.jpg,https://www.youtube.com/watch?v=a1Do11HKZHA?feature=oembed,,,,
The Incredible Nemof,http://digitalkingdom.ch/,DIGITAL KINGDOM,,http://digitalkingdom.ch/wp-content/uploads/2014/11/DSC_0038.jpg,,,,,
The Jackal: Gold Rush,http://www.dna-studios.ch/fr/jeux-video/the-jackal/a-propos-du-jeu/,DNA studio,,,,,,,
Towaga,http://www.sunnysidegames.ch/portfolio/towaga/,Sunnyside Games,,http://i1.wp.com/www.sunnysidegames.ch/site/wp-content/uploads/2014/03/PNG_FINAL.png?w=940,,,,,
Tower Offense,http://noshire.com/projects/toweroffense.html,noshire games,,http://noshire.com/assets/screenshots/toweroffense/1.png,https://www.youtube.com/watch?v=LOY85NoZ2lU?feature=player_detailpage,,,,
Trial of Totems: Ever More,http://trialoftotems.com/,Tabea Iseli & Andreas Halter,,http://trialoftotems.com/wp-content/uploads/2014/05/hindergrund.png,,http://player.vimeo.com/video/95665845?title=0&byline=0&portrait=0;api=1/,,,
Unmem,http://unmem.com/,Cause,,http://unmem.com/premiere/img/unmem_very_slow.gif,https://www.youtube.com/watch?v=mZwk-9lfBg8?rel=0&showinfo=0,,,,
Whack-A-Dungeon,http://www.zappedcow.com/whack/,Zapped Cow,,http://www.zappedcow.com/whack/screenshot.png,,,,,
YAMGUN,http://digitalkingdom.ch/,DIGITAL KINGDOM,,http://digitalkingdom.ch/wp-content/uploads/2014/11/DSC_0038.jpg,,,,,
